China, 1 433 784
India, 1 366 418
United States of America,  329 065
Indonesia,  270 626
Pakistan,  216 565
Brazil,  211 050
Nigeria,  200 964
Bangladesh,  163 046
Russian Federation,  145 872
Mexico,  127 576
Japan,  126 860
Ethiopia,  112 079
Philippines,  108 117
Egypt,  100 388
Viet Nam,  96 462
Democratic Republic of the Congo,  86 791
Germany,  83 517
Turkey,  83 430
Iran (Islamic Republic of),  82 914

